,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
0,2018.06.25,Boating,USA,California,Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark
1,2018.06.18,Unprovoked,USA,Georgia,Standing,F,Minor injury to left thigh,N,14h00  -15h00,
2,2018.06.09,Invalid,USA,Hawaii,Surfing,M,Injury to left lower leg from surfboard skeg,N,07h45,
3,2018.06.08,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor injury to lower leg,N,,2 m shark
4,2018.06.04,Provoked,MEXICO,Colima,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m"
5,2018.06.03.b,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,"No injury, board bitten",N,,
6,2018.06.03.a,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,Late afternoon,Tiger shark
7,2018.05.27,Unprovoked,USA,Florida,Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'"
8,2018.05.26.b,Unprovoked,USA,Florida,Walking,M,Lower left leg bitten,N,17h00,"Bull shark, 6'"
9,2018.05.26.a,Unprovoked,USA,Florida,Standing,M,Minor injury to foot,N,14h00,
10,2018.05.24,Provoked,AUSTRALIA,Queensland,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark
11,2018.05.21,Unprovoked,USA,South Carolina,Boogie boarding,M,Injuries to lower right leg and foot,N,,
12,2018.05.13.b,Unprovoked,USA,South Carolina,Swimming,M,Severe bite to right forearm,N,15h00,
13,2018.05.13.a,Invalid,ENGLAND,Cornwall,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident
14,2018.05.00,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m"
15,2018.05.12,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"Minor injury, marks on board",N,11h00,
16,2018.05.09,Questionable,AUSTRALIA,New South Wales,Surfing,M,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed
17,2018.04.30.R,Unprovoked,THAILAND,Hua Hin,Swimming,M,Minor injury to ankle,N,,
18,2018.04.28.b,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,"No injury, shark bit scuba gear",N,10h40,Tiger shark
19,2018.04.28.a,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, knocked off board by shark",N,16h50,
20,2018.04.25.b,Questionable,AUSTRALIA,New South Wales,Surfing,M,No injury,N,07h00,Questionable
21,2018.04.25.a,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, knocked off board by shark",N,09h30,3 m shark
22,2018.04.24,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m"
23,2018.04.23,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,5-inch cut to hand,N,21h50,Tiger shark
24,2018.04.22,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m"
25,2018.04.19,Unprovoked,USA,Hawaii,Body boarding,M,Lacerations to right lower leg,N,,6' shark
26,2018.04.15.d,Unprovoked,THAILAND,Hua Hin,Swimming,M,Lacerations to foot and ankle,N,,Juvenile bull shark
27,2018.04.15.c,Unprovoked,BRAZIL,Pernambuco,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",U,,
28,2018.04.15.b,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Laceration to right thigh,N,,
29,2018.04.15.a,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Lacerations to legs,N,08h00,
30,2018.04.14,Unprovoked,BAHAMAS,New Providence,Surfing,M,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark
31,2018.04.10.R,Invalid,BRAZIL,Alagoas,Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed
32,2018.04.09,Unprovoked,NEW CALEDONIA,,Windsurfing,,"No injury, shark bit board",N,17h00,2 m shark
33,2018.04.05,Unprovoked,BAHAMAS,,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark
34,2018.04.03,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Lacerations to left knee & lower leg,N,15h00,White shark
35,2018.03.31,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'"
36,2018.03.14,Unprovoked,AUSTRALIA,Western Australia,Wading,M,Minor injuries to legs,N,17h35,Wobbegong shark
37,2018.03.09.b,Unprovoked,AUSTRALIA,Victoria,Swimming,M,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark
38,2018.03.09.a,Unprovoked,AUSTRALIA,Victoria,Surfing,M,"Minor injury, ankle grazed",N,07h30,1.8 m shark
39,2018.02.24,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M, The shark & man simply collided; neither were injured,N,,Blacktip shark
40,2018.02.23,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m"
41,2018.02.17,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,
42,2018.02.15,Unprovoked,AUSTRALIA,New South Wales,Walking,M,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m"
43,2018.02.14,Invalid,AUSTRALIA,Queensland,Swimming,F,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong
44,2018.02.11,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark"
45,2018.02.03,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,Injuries to right foot,N,,Galapagos shark?
