,Date,Steps,Distancia,Calories
0,2020-12-02,9580,7.10861,1904
1,2020-12-03,3818,2.44533,1516
2,2020-12-04,2029,1.17035,1604
3,2020-12-05,0,0.0,1239
4,2020-12-06,0,0.0,1240
5,2020-12-07,7135,5.41168,1807
6,2020-12-08,3686,2.32945,1523
7,2020-12-09,0,0.0,1237
8,2020-12-10,1816,0.828,1527
9,2020-12-11,8217,6.22349,1709
10,2020-12-12,6897,4.27039,1675
11,2020-12-13,0,0.0,1232
12,2020-12-14,2396,1.2215399999999998,1554
13,2020-12-15,4616,3.5728199999999997,1521
14,2020-12-16,0,0.0,1231
15,2020-12-17,3086,1.96877,1438
16,2020-12-18,1153,0.63152,1486
17,2020-12-19,0,0.0,1236
18,2020-12-20,8019,6.296749999999999,1761
19,2020-12-21,4078,2.75704,1521
20,2020-12-22,0,0.0,1232
21,2020-12-23,2090,1.09903,1505
22,2020-12-24,7334,5.04493,1673
23,2020-12-25,0,0.0,1235
24,2020-12-26,0,0.0,1235
25,2020-12-27,0,0.0,1235
26,2020-12-28,0,0.0,1235
27,2020-12-29,0,0.0,1230
28,2020-12-30,0,0.0,1228
29,2020-12-31,0,0.0,1228
30,2021-01-01,0,0.0,1227
31,2021-01-02,0,0.0,1227
32,2021-01-03,0,0.0,1227
33,2021-01-04,0,0.0,1226
34,2021-01-05,0,0.0,1226
35,2021-01-06,3724,2.4146199999999998,1528
36,2021-01-07,4313,2.7965,1529
37,2021-01-08,5188,3.3256699999999997,1639
38,2021-01-09,0,0.0,1225
39,2021-01-10,3677,2.45566,1389
40,2021-01-11,3250,2.10728,1592
41,2021-01-12,3243,2.10277,1516
42,2021-01-13,0,0.0,1229
43,2021-01-14,5055,3.2776699999999996,1864
44,2021-01-15,6631,4.21912,1626
45,2021-01-16,903,0.5855199999999999,1309
46,2021-01-17,4469,2.88082,1495
47,2021-01-18,3610,2.34071,1635
48,2021-01-19,3592,2.32903,1623
49,2021-01-20,3240,2.1008199999999997,1543
