Year,Cuenta de muertos
2015,139
2011,128
2014,125
0,124
2013,122
2008,121
2009,120
2012,117
2007,112
2005,103
2006,103
2016,103
2010,101
2000,97
1960,93
1959,93
2004,92
2003,92
2001,92
2002,88
1962,86
1961,78
1995,76
1964,66
1999,65
1998,65
1996,61
1963,61
1966,58
1997,57
1992,56
1993,56
1994,56
1988,55
1958,54
1989,53
1965,51
1956,51
1983,50
1975,49
1981,49
1967,48
1968,46
1950,43
1955,43
1970,42
1954,42
1942,41
1957,41
1984,41
1982,40
1976,39
1986,39
1974,38
1990,38
1991,38
1929,37
1985,37
1953,36
1972,35
1987,35
1980,35
1935,32
1944,31
1951,31
1949,31
1947,30
1969,30
1937,30
1936,30
1948,29
1931,29
1952,29
1971,28
1943,28
1941,27
1934,27
1932,27
1973,27
1977,26
1946,26
1930,26
1928,26
1978,25
1979,25
1916,25
1940,24
1939,24
1938,24
1907,23
1922,22
1933,22
1906,21
1923,21
1926,21
1895,20
1927,19
1924,19
1899,19
1898,19
1909,18
1914,17
1945,16
1911,16
1905,16
1913,16
1890,16
1894,15
1902,15
1920,15
1886,15
1888,15
1880,15
1919,14
1877,14
1925,14
1910,14
1893,13
1912,13
1908,13
1904,13
1900,13
1887,12
1862,12
1878,12
1915,12
1921,11
1896,11
1882,11
1917,11
1892,11
1897,11
1883,10
1903,10
1852,10
1874,10
1901,9
1889,9
1885,9
1881,9
1876,8
1891,8
1870,8
1879,8
1864,8
1871,8
1872,7
1855,7
1863,7
1853,7
1849,6
1884,6
1847,6
1868,6
1860,6
1918,5
1861,5
1875,5
1827,4
1839,4
1840,4
1844,4
1845,4
1873,4
1865,4
1817,4
1856,4
1858,4
1867,4
1851,3
1848,3
1826,3
1842,3
1830,3
1837,3
1700,3
1828,2
1825,2
1776,2
1829,2
1832,2
1642,2
1835,2
1836,2
1869,2
1638,1
1767,1
1764,1
1758,1
1755,1
1749,1
1748,1
1742,1
1738,1
1733,1
1721,1
1834,1
1771,1
1617,1
1595,1
1580,1
1703,1
1555,1
1554,1
1543,1
500,1
77,1
1637,1
1779,1
5,1
1816,1
1841,1
1846,1
1850,1
1854,1
1859,1
1866,1
1822,1
1819,1
1818,1
1812,1
1785,1
1811,1
1807,1
1805,1
1804,1
1803,1
1800,1
1791,1
1788,1
1787,1
1831,1
