original order,Date,Type,Country,Area,Location,Activity,Age,Fatal (Y/N)
6303,25-Jun-2018,Boating,USA,California,"Oceanside, San Diego County",Paddling,57,N
6302,18-Jun-2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,11,N
6301,09-Jun-2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,48,N
6300,08-Jun-2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,,N
6299,04-Jun-2018,Provoked,MEXICO,Colima,La Ticla,Free diving,,N
6298,03-Jun-2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,,N
6297,03-Jun-2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,18,Y
6296,27-May-2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,52,N
6295,26-May-2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,15,N
6294,26-May-2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,12,N
6293,24-May-2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,32,N
6292,21-May-2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,10,N
6291,13-May-2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,10,N
6290,13-May-2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,21,N
6289,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,34,N
6288,12-May-2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,,N
6287,09-May-2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,,N
6286,30-Apr-2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,,N
6285,28-Apr-2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,30,N
6284,28-Apr-2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,,N
6283,25-Apr-2018,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,,N
6282,25-Apr-2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,60,N
6281,24-Apr-2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,,N
6280,23-Apr-2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,32,N
6279,22-Apr-2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,33,N
6278,19-Apr-2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,29,N
6277,15-Apr-2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,54,N
6276,15-Apr-2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,34,
6275,15-Apr-2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,41,N
6274,15-Apr-2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,37,N
6273,14-Apr-2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,,N
6272,10-Apr-2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,56,N
6271,09-Apr-2018,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,,N
6270,05-Apr-2018,Unprovoked,BAHAMAS,,Bimini,Swimming,12,N
6269,03-Apr-2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,19,N
6268,31-Mar-2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,25,N
6267,14-Mar-2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,10,N
6266,9-Mar-2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,69,N
6265,9-Mar-2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,18,N
6264,24-Feb-2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,38,N
6263,23-Feb-2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,55,N
6262,18-Feb-2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,34,N
6261,15-Feb-2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,35,N
6260,14-Feb-2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,,N
6259,11-Feb-2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,46,N
6258,03-Feb-2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,45,N
6257,01-Feb-2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,14,N
6256,28-Jan-2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,18,N
6255,21-Jan-2018,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,40s,N
6254,14-Jan-2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,,N
6253,13-Jan-2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,28,N
6252,12-Jan-2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,20,N
6251,05-Jan-2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,,N
6250,31-Dec-2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,54,N
6249,30-Dec-2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,35,N
6248,21-Dec-2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,24,N
6247,09-Dec-2017,Unprovoked,BAHAMAS,,,Snorkeling,25,N
6246,30-Nov-2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,26,N
6245,30-Nov-2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,49,Y
6244,25-Nov-2017,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,,Y
6243,24-Nov-2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,25,N
6242,18-Nov-2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,14,N
6241,13-Nov-2017,Unprovoked,,,,Surfing,24,N
6240,13-Nov-2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,25,N
6239,04-Nov-2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,22,Y
6238,31-Oct-2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,7,N
6237,28-Oct-2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,31,N
6236,26-Oct-2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,,N
6235,23-Oct-2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,,N
6234,23-Oct-2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,17,N
6233,23-Oct-2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,60,N
6232,22-Oct-2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,15,N
6231,21-Oct-2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,,N
6230,18-Oct-2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,,N
6229,09-Oct-2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,54,N
6228,05-Oct-2017,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,40,N
6227,01-Oct-2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,31,
6226,25-Sep-2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,,N
6225,25-Sep-2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,,N
6224,24-Sep-2017,Invalid,USA,New York,Rockaway,Surfing,33,
6223,24-Sep-2017,Unprovoked,USA,Florida,Fort Worth,Surfing,,N
6222,20-Sep-2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,,N
6221,16-Sep-2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,13,N
6220,16-Sep-2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,28,N
6219,15-Sep-2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,25,
6218,15-Sep-2017,,SAMOA, Upolu Island,Nofoalii,Fishing,,N
6217,Sep-2017,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,,N
6216,13-Sep-2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,18,N
6215,10-Sep-2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,,N
6214,10-Sep-2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,35,N
6213,06-Sep-2017,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,Spearfishing,,N
6212,03-Sep-2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",,Y
6211,03-Sep-2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,42,N
6210,02-Sep-2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,,N
6209,02-Sep-2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,,N
6208,02-Sep-2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,17,N
6207,29-Aug-2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,37,N
6206,27-Aug-2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,3,N
6205,26-Aug-2017,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,11,
6204,26-Aug-2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,,N
6203,23-Aug-2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,69,N
6202,18-Aug-2017,Unprovoked,BAHAMAS,,,Spearfishing,,N
6201,10-Aug-2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,13,N
6200,05-Aug-2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,20,N
6199,03-Aug-2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,34,N
6198,01-Aug-2017,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,,N
6197,31-Jul-2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,15,N
6196,29-Jul-2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,10,
6195,29-Jul-2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,12,N
6194,27-Jul-2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,,N
6193,26-Jul-2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Spearfishing,,N
6192,24-Jul-2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,37,N
6191,23-Jul-2017,Unprovoked,USA,New Jersey,Ventnor,,,N
6190,23-Jul-2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,,N
6189,22-Jul-2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,40,N
6188,20-Jul-2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,8,
6187,20-Jul-2017,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,40,N
6186,20-Jul-2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,50,N
6185,14-Jul-2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,,N
6184,14-Jul-2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,,N
6183,11-Jul-2017,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,,N
6182,09-Jul-2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,46,N
6181,07-Jul-2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,32,N
6180,07-Jul-2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,13,N
6179,02-Jul-2017,Invalid,COMOROS,Anjouan,Moya,Fishing,,
6178,29-Jun-2017,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,,
6177,21-Jun-2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,16,N
6176,19-Jun-2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,,N
6175,18-Jun-2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,14,N
6174,18-Jun-2017,Unprovoked,REUNION,,Roches Noire,Body boarding,34,N
6173,17-Jun-2017,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,82,N
6172,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,,N
6171,14-Jun-2017,Unprovoked,BAHAMAS,,,Feeding sharks,,N
6170,11-Jun-2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,48,N
6169,10-Jun-2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,,N
6168,10-Jun-2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,19,N
6167,07-Jun-2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,30,N
6166,04-Jun-2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,,N
6165,02-Jun-2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,32,N
