,Date,Type,Country,Area,Activity,Sex,Age,Injury,Fatal,Species
0,2018-06-01,Boating,USA,California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark
1,2018-06-01,Unprovoked,USA,Georgia,Standing,F,11,Minor injury to left thigh,N,Unidentified
2,2018-06-01,Invalid,USA,Hawaii,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,Unidentified
3,2018-06-01,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,0,Minor injury to lower leg,N,2 m shark
4,2018-06-01,Provoked,MEXICO,Colima,Free diving,M,0,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m"
5,2018-06-01,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,0,"No injury, board bitten",N,Unidentified
6,2018-06-01,Unprovoked,BRAZIL,Pernambuco,Swimming,M,18,FATAL,Y,Tiger shark
7,2018-05-01,Unprovoked,USA,Florida,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'"
8,2018-05-01,Unprovoked,USA,Florida,Walking,M,15,Lower left leg bitten,N,"Bull shark, 6'"
9,2018-05-01,Unprovoked,USA,Florida,Standing,M,12,Minor injury to foot,N,Unidentified
10,2018-05-01,Provoked,AUSTRALIA,Queensland,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark
11,2018-05-01,Unprovoked,USA,South Carolina,Boogie boarding,M,10,Injuries to lower right leg and foot,N,Unidentified
12,2018-05-01,Unprovoked,USA,South Carolina,Swimming,M,10,Severe bite to right forearm,N,Unidentified
13,2018-05-01,Invalid,ENGLAND,Cornwall,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident
14,2018-05-01,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m"
15,2018-05-01,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,0,"Minor injury, marks on board",N,Unidentified
16,2018-05-01,Questionable,AUSTRALIA,New South Wales,Surfing,M,0,"No injury, surfboard damaged",N,Shark involvement not confirmed
17,2018-04-01,Unprovoked,THAILAND,Hua Hin,Swimming,M,0,Minor injury to ankle,N,Unidentified
18,2018-04-01,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,Tiger shark
19,2018-04-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No injury, knocked off board by shark",N,Unidentified
20,2018-04-01,Questionable,AUSTRALIA,New South Wales,Surfing,M,0,No injury,N,Questionable
21,2018-04-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,3 m shark
22,2018-04-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No injury, shark struck his leg",N,"White shark, 3.5 m"
23,2018-04-01,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,Tiger shark
24,2018-04-01,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,"White shark, 2.5 m"
25,2018-04-01,Unprovoked,USA,Hawaii,Body boarding,M,29,Lacerations to right lower leg,N,6' shark
26,2018-04-01,Unprovoked,THAILAND,Hua Hin,Swimming,M,54,Lacerations to foot and ankle,N,Juvenile bull shark
27,2018-04-01,Unprovoked,BRAZIL,Pernambuco,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Unidentified,Unidentified
28,2018-04-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,41,Laceration to right thigh,N,Unidentified
29,2018-04-01,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,37,Lacerations to legs,N,Unidentified
30,2018-04-01,Unprovoked,BAHAMAS,New Providence,Surfing,M,0,No Injury. Shark swam away with the surf board,N,Tiger shark
31,2018-04-01,Invalid,BRAZIL,Alagoas,Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed
32,2018-04-01,Unprovoked,NEW CALEDONIA,Unidentified,Windsurfing,Unidentified,0,"No injury, shark bit board",N,2 m shark
33,2018-04-01,Unprovoked,BAHAMAS,Unidentified,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark
34,2018-04-01,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,White shark
35,2018-03-01,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,"Tiger shark, 12'"
36,2018-03-01,Unprovoked,AUSTRALIA,Western Australia,Wading,M,10,Minor injuries to legs,N,Wobbegong shark
37,2018-03-01,Unprovoked,AUSTRALIA,Victoria,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,3.5 m shark
38,2018-03-01,Unprovoked,AUSTRALIA,Victoria,Surfing,M,18,"Minor injury, ankle grazed",N,1.8 m shark
39,2018-02-01,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,Blacktip shark
40,2018-02-01,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m"
41,2018-02-01,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Unidentified
42,2018-02-01,Unprovoked,AUSTRALIA,New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m"
43,2018-02-01,Invalid,AUSTRALIA,Queensland,Swimming,F,0,"Collision / No injury, no attack",N,Possibly a wobbegong
44,2018-02-01,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark"
45,2018-02-01,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,45,Injuries to right foot,N,Galapagos shark?
46,2018-02-01,Invalid,AUSTRALIA,Western Australia,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,2m shark
