Case Number,Date,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Investigator or Source,href formula,original order
2018.06.25,2018-06-25 00:00:00,Provoked,Usa,California,"Oceanside, San Diego County",Paddling,F,"No injury to occupant, outrigger canoe and paddle damaged",N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,6303.0
2018.06.18,2018-06-18 00:00:00,Unprovoked,Usa,Georgia,"St. Simon Island, Glynn County",Standing,F,Minor injury to left thigh,N,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,6302.0
2018.06.09,2018-06-09 00:00:00,Provoked,Usa,Hawaii,"Habush, Oahu",Surfing,M,Injury to left lower leg from surfboard skeg,N,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,6301.0
2018.06.08,2018-06-08 00:00:00,Unprovoked,Australia,New South Wales,Arrawarra Headland,Surfing,M,Minor injury to lower leg,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,6300.0
2018.06.04,2018-06-04 00:00:00,Provoked,Mexico,Colima,La Ticla,Free diving,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,A .Kipper,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,6299.0
2018.06.03.b,2018-06-03 00:00:00,Unprovoked,Australia,New South Wales,"Flat Rock, Ballina",Kite surfing,M,"No injury, board bitten",N,"Daily Telegraph, 6/4/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,6298.0
2018.06.03.a,2018-06-03 00:00:00,Unprovoked,Brazil,Pernambuco,"Piedade Beach, Recife",Swimming,M,FATAL,Y,"Diario de Pernambuco, 6/4/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,6297.0
2018.05.27,2018-05-27 00:00:00,Unprovoked,Usa,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,Minor injury to foot. PROVOKED INCIDENT,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,6296.0
2018.05.26.b,2018-05-26 00:00:00,Unprovoked,Usa,Florida,"Cocoa Beach, Brevard  County",Walking,M,Lower left leg bitten,N,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,6295.0
2018.05.26.a,2018-05-26 00:00:00,Unprovoked,Usa,Florida,"Daytona Beach, Volusia County",Standing,M,Minor injury to foot,N,"K. McMurray, Tracking Sharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,6294.0
2018.05.24,2018-05-24 00:00:00,Provoked,Australia,Queensland,Cairns Aquarium,Feeding sharks,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,"ABC.net.au ,05/24/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,6293.0
2018.05.21,2018-05-21 00:00:00,Unprovoked,Usa,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,Injuries to lower right leg and foot,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,6292.0
2018.05.13.b,2018-05-13 00:00:00,Unprovoked,Usa,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,Severe bite to right forearm,N,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,6291.0
2018.05.13.a,2018-05-13 00:00:00,Provoked,England,Cornwall,Off Land's End,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,6290.0
2018.05.00,2018-05-01 00:00:00,Provoked,Australia,Westerm Australia,Dugong Bay,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,"Perth Now, 6/30/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,6289.0
